id	标题	链接	评分	海报	播放源	新电影
11620560	007：幽灵党	https://movie.douban.com/subject/11620560/	6.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2276234635.jpg	playable	nonew
25833913	梦醒之前	https://movie.douban.com/subject/25833913/	6.4	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2245558962.jpg	noplayable	nonew
26860031	不可抗力爱上你	https://movie.douban.com/subject/26860031/	6.6	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2375434705.jpg	noplayable	nonew
10047547	饥饿游戏3：嘲笑鸟(下)	https://movie.douban.com/subject/10047547/	6.1	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2282434035.jpg	noplayable	nonew
26473775	关键判决	https://movie.douban.com/subject/26473775/	7.5	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2329114816.jpg	noplayable	nonew
3543318	傲慢与偏见与僵尸	https://movie.douban.com/subject/3543318/	5.5	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2290492557.jpg	playable	nonew
26322972	邻居大战2：姐妹会崛起	https://movie.douban.com/subject/26322972/	5.2	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2331062847.jpg	playable	nonew
26220717	危机13小时	https://movie.douban.com/subject/26220717/	7.6	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2280567620.jpg	noplayable	nonew
25845910	小门神	https://movie.douban.com/subject/25845910/	6.8	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2299783299.jpg	playable	nonew
26320029	万万没想到	https://movie.douban.com/subject/26320029/	5.6	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2291070523.jpg	noplayable	nonew
26348798	真相禁区	https://movie.douban.com/subject/26348798/	4.6	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2312467173.jpg	noplayable	nonew
24874401	各有少年时	https://movie.douban.com/subject/24874401/	6.7	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2299152872.jpg	noplayable	nonew
26282530	再见，在也不见	https://movie.douban.com/subject/26282530/	5.9	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2346580342.jpg	playable	nonew
26389697	大唐玄奘	https://movie.douban.com/subject/26389697/	5.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2339564405.jpg	playable	nonew
25850443	史蒂夫·乔布斯	https://movie.douban.com/subject/25850443/	7.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2264942503.jpg	playable	nonew
3718279	死侍	https://movie.douban.com/subject/3718279/	7.5	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2309264172.jpg	noplayable	nonew
26577938	只有我不在的街道	https://movie.douban.com/subject/26577938/	6.0	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2277996489.jpg	noplayable	nonew
24753712	国王的全息图	https://movie.douban.com/subject/24753712/	5.9	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2325523252.jpg	noplayable	nonew
26220759	大虎	https://movie.douban.com/subject/26220759/	7.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2283081964.jpg	noplayable	nonew
25890079	等着你	https://movie.douban.com/subject/25890079/	6.5	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2316209126.jpg	noplayable	nonew
